,0
1790,COE and ARF waivers for drivers with disabilities
1791,Clarifications on shelter placement
1792,Opening Speech By Mr Tan ChuanJin At The Committee Of Supply
1793,Take up rate for paid paternity leave in
1794,Continued Support for Voluntary Welfare Organisations to Build Professional and Organisational capabilities
1795,Strengthening the Ecosystem of Support for Persons with Disabilities and Their Families
1796,Strengthening familybased care for vulnerable children
1797,Enforcement of maintenance orders using videoconferencing facilities
1798,New Initiatives to Attract and Develop Infant Educarers
1799,Fact Sheet on KidSTART Home Visitation
1800,Speech By AProf Muhammad Faishal Ibrahim at the Committee of Supply
1801,Closing speech by Mr Tan ChuanJin at the Committee of Supply
1802,Assistance for single fathers from low and middle income families
1803,Number of persons with disabilities on SG Enables Board of Directors
1804,Number of children enrolled in fullday childcare
1805,Spark Connections brings new and more exciting trendy treats to singles
1806,Clarifications on Senior Group Homes scheme
1807,Early Childhood Development Centres Bill Passed in Parliament to Raise Quality of PreSchool Sector
1808,Opening And Closing Speeches by Minister Tan ChuanJin at the Second Reading of the Early Childhood Development Centres Bill
1809,Clarifications on Lasting Power of Attorneys
1810,Extensiveness of Singaporeans seeking LPAs
1811,Enhancing capabilities to care for children with autism
1812,Number and profile of persons who attempted suicide
1813,Additional ComCare support measures
1814,Break the Silence campaign to encourage intervention in family violence situations
1815,Management of HFMD in child care centres
1816,Enrolment and manpower in child care centres
1817,Number and profile of persons with disabilities
1818,Responding to cases of attempted suicides
1819,Employment conditions of persons with disabilites
1820,Options for longterm care of adults with intellectual disabilities
1821,Statistics on destitute persons in welfare homes
1822,Third Fostering Agency to be appointed in to support shift towards familybased care
1823,Keynote address by Mr Tan ChuanJin at the National Family Violence Networking Systems Conference
1824,MSF to study and consider recommendations made by Enabling Masterplan Steering Committee
1825,million disbursed under ComCare in FY
1826,Maternity benefits for employees retrenched while on maternity leave
1827,Planning and development of Senior Activity and Care Centres in existing HDB towns
1828,Housing and flat rental assistance for single unwed mums
1829,Amendments to the Child Development CoSavings Act
1830,Preemployment medical screening for preschool staff
1831,Opening and closing speeches by Minister Tan ChuanJin at the second reading of the Child Development CoSavings Amendmen
1832,Speech by Mr Tan ChuanJin at the MSF Volunteer Awards
1833,Assistive technology for persons with special needs
1834,Opening Remarks by Mr Tan ChuanJin at the ECDA Scholarships and Awards Presentation Ceremony
1835,Three Volunteer Probation Officers of years among honoured at MSF Volunteer Awards
1836,Positive Outcomes of the SchooltoWork Transition Programme
1837,Prevalence of children with learning disabilities per cohort
1838,New initiatives for aspiring early childhood educators
1839,Statistics on problem gamblers
1840,Lasting Power of Attorney and deputies for those without mental capacity
1841,Support for small and mediumsized preschools
1842,Singapore to host weeklong series of ASEAN meetings on womens and childrens issues
1843,Number and length of stay at crisis shelters for abused women and their children
1844,Speech by Mr Tan ChuanJin at the Early Childhood Conference
1845,Preschoolers contribute over hours to serve the community
1846,Statistics and safeguards regarding online gambling
1847,Safeguards to prevent an increase in online gambling addiction
1848,Conciliation and applications regarding maintenance of parents
1849,Statistics on marriage dissolutions
1850,Enhancing homebased care options for young children elderly and disabled
1851,Rationale behind policy of not recognising children of unwed mothers as legitimate children
1852,Keynote address by Mr Tan ChuanJin at the International Family Law Conference
1853,New manpower plan unveiled to create more rewarding careers for early childhood educators
1854,Oneinthree preschools now certified under Singapore Preschool Accreditation Framework SPAR
1855,Wholeofgovernment approach to deal with suicides in the young
1856,Protection for foreign spouses and children when marriages with Singapore citizens break down
1857,Legal and policy distinction between legitimate and illegitimate children
1858,Preemployment tuberculosis screening for preschool staff
1859,Parliamentary Secretary Associate Professor Muhammad Faishal Ibrahim to attend ASEAN Ministerial Meetings in Jakarta Indonesia
1860,Certificate issuers for Lasting Power of Attorney
1861,Availability and subsidy of student care places
1862,Mandatory autism testing for babies
1863,Statistics on children born in Singapore without fathers name on birth certificate or with father named but parents not married at date of registration of birth
1864,Foster Care Week
1865,Statistics on Singaporean children who have not attended preschool
1866,Application Fees for Lasting Power of Attorney Waived for Two More Years
1867,MSF acts against Impresario Learning Lab for wrongful claims in administering government student care fee assistance
1868,Trends and early intervention of child abuse cases
1869,Minister Tan ChuanJin to attend th ASEAN SocioCultural Community Council Meeting in Vientiane Lao PDRR
1870,MSF revokes status of Impresario Learning Lab as administrator of government student care fee assistance
1871,Strong Support for New Vulnerable Adults Bill in Complementing Role of Family and Community
1872,Opening address by Mr Tan ChuanJin at the Social Service Summit
1873,Factsheet on Positive Parenting Programme TriplePilot
1874,Safeguards for better detection and management of child abuse cases
1875,Public Consultation on Draft Vulnerable Adults Bill
1876,Social Service Officer Charged for Misappropriation of Funds
1877,Measures to encourage parents to have more children
1878,Holistic assistance for individuals with intellectual disabilities and their caregivers
1879,Percentage of five and sixyearolds enrolled in preschools
1880,Availability of places in Senior Group Homes and takeup rate
1881,Subsidies for preschools to train and employ additional manpower for children with speech delay autism and at risk of mode
1882,Speech by AProf Muhammad Faishal Ibrahim at the Committee of Supply
1883,Main Theme Speech by Mr Tan ChuanJin at rd SingaporeChina Social Governance Forum
1884,preschoolers do their part to serve community
1885,Child Development CoSavings Act Bill amended to support active fatherhood and enhance child outcomes
1886,Opening Speech by Mr Tan ChuanJin at the Committee of Supply
1887,rd SingaporeChina Social Governance Forum on Governance in a Diverse Society
1888,Parking duration for Class Label Scheme drivers
1889,First batch of preschool teachers to commence year professional development programme
1890,Keynote Address by Mr Tan ChuanJin at the Singapore Mental Health Conference
1891,MSF revokes status of Welcare Student Care Centre as administrator of Student Care Fee Assistance
1892,Closing Speech by Mr Tan ChuanJin at the Committee of Supply
1893,Approach in tackling homeless cases
1894,MSF acts against student care centre for lapses in administering Government student care fee assistance
1895,Homes for adults with intellectual disabilities
1896,Opening Remarks at the Marriage Convention
1897,Maternity leave for single mothers
1898,Detention under Womens Charter
1899,Intensive support programme to keep vulnerable children together with their families
1900,lowincome and vulnerable children to benefit from pilot scheme that coordinates strengthens and monitors support
1901,Higher ComCare longterm assistance for those in need
1902,Application rate for additional childcare subsidy for nonworking mothers
1903,Opening Speech by Mr Tan ChuanJin Minister for Social and Family Development At The Second Reading of The Womens Charter AmendmenBill
1904,Opening Speech by Mr Tan ChuanJin at the Second Reading of the Mental Capacity AmendmenBill in Parliament Mar
1905,Support for retrenched workers and their families
1906,HDB rental flats for displaced and homeless individuals
1907,Impact of preschool teachers on recruitment and centre operations
1908,Number of childcare operators under Partner Operator Scheme
1909,Personal protection orders and cases of family violence
1910,Closing Speech by Mr Tan ChuanJin at the Second Reading of the Mental Capacity AmendmenBill in Parliament Mar
1911,Fact Sheet on Mental Capacity AmendmenBill
1912,Speech by Ms Ang Bee Lian at the Universal Periodic Review
1913,Appointment of deputies for individuals no longer capable of decisions
1914,Efficacy of Social Service Offices
1915,Takeup rate for Lasting Power of Attorney
1916,Waiting time for professional assessment of persons with disabilities
1917,Speech by Mr Tan ChuanJin at We Are Able Event
1918,Take up rate for paid paternity leave
1919,Womens Charter to Support More Complex Family Needs
1920,Disbursements from Open Door Fund
1921,Early intervention services for children with speech delay autism and at risk of moderate to severe disabilities
1922,Addendum to the Presidents Address
1923,Family remains key source of support for elderly as aged households evolve
1924,Foster Family Tea Party
1925,Launch of the National Social Work Competency Framework
1926,Public expresses support for amendments to the draft Womens Charter
1927,Public consultation on draft Mental Capacity AmendmenBill
1928,million disbursed under ComCare in
1929,Speech by Mr Tan ChuanJin at the opening of Eden Centre Clementi
1930,Enhanced Support for Aspiring Early Childhood Leaders Through SkillsFuture Study Awards
1931,Public supports proposed changes to Mental Capacity Act
1932,Foster parents of child with congenital disorders among honoured at MSF Volunteer Awards
1933,Speech by Mr Tan ChuanJin at Credit Suisse Philanthropists Forum
1934,Up to Children to Benefit from more Affordable and Better Quality Child Care from
1935,Opening Remarks by Mr Tan ChuanJin at the ECDA Scholarships and Awards Presentation Ceremony
1936,Country Statement by Assoc Prof Muhammad Faishal Ibrahim at nd ASEAN Ministerial Meeting on Women
1937,Two New Initiatives for More Effective Guidance and Rehabilitation of AtRisk Youth
1938,Keynote Address by Chief Justice Sundaresh Menon at ACT Conference on AtRisk Youths
1939,Assault on MSF officer at Social Service Office
1940,Opening Remarks by Mr Desmond Lee at ACT Conference on AtRisk Youths
1941,Opening Address by Mr Tan ChuanJin at ACT Conference on AtRisk Youths
1942,Speech by Mr Tan ChuanJin at the launch of Tech Able
1943,MSF revokes status of Approved Persons for Sweetlands Childcare Centres
1944,Speech by Mr Tan ChuanJin at the MSF Volunteer Awards
1945,New Initiatives to Enhance Skills and Career Development of Early Childhood Educators
1946,Updates on Haze Management for Child Care Centres and Kindergartens for September Monda
1947,Opening Speech by Minister Tan ChuanJin at the Early Childhood Conference and Carnival
1948,More Than Raised for Presidents Challenge Project Start Small Dream Big
1949,Speech by Ms Low Yen Ling at CEDAW Forum
1950,Speech by Dr Yaacob Ibrahim Ministerincharge of Muslim Affairs at the Engaging Hearts Minds Seminar
1951,Strengthening Partnerships for Strong and Stable MalayMuslim Families
1952,Tackling abuse of elderly
1953,Suicide and attempted suicides in Singapore
1954,Family Service Centres helping intellectually disabled find jobs
1955,Tighter control over Child Development Accounts to prevent unauthorised withdrawals
1956,Opening Address by Mr Chan Heng Kee at the th Cerebral Palsy Symposium
1957,Remarks by Mr Chan Heng Kee at The Salvation Army Red Shield Appeal Luncheon
1958,Haze Management Measures Early Childhood Development Agencys Advisory for Childcare Centres and Kindergartens
1959,Update on Haze Management for Child Care Centres and Kindergartens
1960,Congratulatory Speech by Mr Tan ChuanJin at SSI Graduation and Awards Ceremony
1961,More PreSchools Awarded SPARK Certification
1962,Speech by Mr Tan ChuanJin at Singapore Social Enterprise Conference
1963,Speech by Mr Tan ChuanJin at NCSS Members Conference
1964,Link between unequal benefits for unwed and married mothers and births within marriage
1965,Senior group homes model for elderly Singaporeans in public housing estates
1966,Cost for family members to be appointed deputies under Mental Capacity Act
1967,Maternity leave for single working mothers
1968,Support for Problem Gambling
1969,Families For Life Council Embarks on New Term to Promote Strong and Resilient Families
1970,Speech by Ms Low Yen Ling at Singapore Parenting Congress
1971,MSF steps in to protect financial interests of parents and children at Sweetlands childcare centre
1972,Childcare places in mature estates under Remaking Our Heartland programme
1973,ECDA Fellows Appointment Ceremony
1974,Benefits of Smart Nation project for Persons with Disabilities
1975,Speech by Mr Tan ChuanJin at Social Service Partners Conference
1976,Speech by Mr Chan Heng Kee at Social Work Supervision Seminar
1977,SpeechbyMrTanChuanSpeech by Mr Tan ChuanJin at Social Service Partners Conference
1978,Social Service Partners Discuss Emerging Family Trends and Support to Strengthen Families
1979,Appointment of deputies for persons deemed to have lost mental capacity
1980,New large child care centres to increase child care places in high demand areas
1981,More Banking Choices and Greater Convenience for Parents Under Changes to Baby Bonus Scheme
1982,Speech by Mr Chan Chun Sing at MSF Committee of Supply
1983,Message from the Office for Womens Development
1984,Dedicated Transport Services for Persons with Disabilities
1985,Fostering Agencies Factsheet
1986,Early Intervention Review
1987,More Support for Social Service Providers and Professionals to Build Capabilities
1988,New Initiatives to Develop Early Childhood Professionals and Improve Quality of PreSchools
1989,Speech by Ms Low Yen Ling at MSF Committee of Supply
1990,MSF steps up efforts to encourage couples to attend Marriage Preparation Programmes
1991,Speech by Mdm Halimah Yacob at International Womens Day Gala Dinner
1992,Extending the use of consolidated application forms for casino selfexclusions
1993,Benefits for Single Mothers
1994,Cinta Abadi Marriage of a Lifetime Marriage Preparation Programme Cinta Abadi MP
1995,Foster Care in Singapore
1996,Divorce Support Specialist Agencies
1997,Takeup rate of VWOsCharities Capability Fund
1998,Speech at Official Launch of Sun Ray Scheme
1999,More children to benefit from higher fee assistance for kindergarten education
2000,MSF pilots homebased care services for Persons with Disabilities
2001,Better care for the disabled at home
2002,Caregiving arrangements for children of parents or caregivers with mental illnesses
2003,New measures to help prospective SingaporeanForeigner couples better plan for their future
2004,Plans to develop competencies of teachers in EIPIC and other programmes
2005,Rehabilitation and Protection Care Conference Factsheet
2006,Opening Address by Mr Chan Heng Kee at One Hope Centres th Anniversary Celebration
2007,Cluster Operator and Attendance Registration System
2008,Structured support for families and parents of children with severe disabilities
2009,Social Entrepreneurship in ASEAN
2010,Benefits given to unwed mothers
2011,Number of individuals and households receiving assistance under ComCare
2012,Extension of land lease of St Johns Home in Sennett Estate
2013,benefit from ComCare Assistance and moves made to improve delivery in
2014,More banking choices greater convenience
2015,Requirement for Flag Day applicants to maintain average gross proceeds
2016,New Government Representative for Womens Rights on ASEAN Commission
2017,Speech at Early Childhood Conference
2018,Grant Enhanced to Enable Neighbourhood Malls to Create Family Friendly Environment
2019,Responsible gambling measures and Corporate Social Responsibility by operators
2020,Safeguards in place for setting up of LPA
2021,Statistics of children without Child Development Account CD
2022,MSF invites nominations for new Government Representative for Womens Rights on ASEAN Commission
2023,Remarks by Mr Chan Heng Kee at Family Service Centre Network Session
2024,Parliamentary Secretary to attend th session of the Committee on the Rights of the Child at Geneva Switzerland
2025,New Child Care Registration Management System to Bring Parents Greater Convenience
2026,Moves to encourage Singaporeans to make Lasting Power of Attorney
2027,Speech at the SingaporeChina Social Governance Forum in Beijing China
2028,MSF Expands Subsidised Senior Home Care Services for Families with Frail Seniors and Persons with Disability
2029,Speech at Singapore Parenting Congress
2030,Speech at the Economic Society of Singapore Annual Dinner
2031,Takeup rate of Special Needs Savings Scheme by PWDs
2032,Addenda to Presidents Address Caring Society
2033,A Community of Support for Those in Need
2034,Savings in Child Development Account
2035,Parliamentary Secretary Low Yen Ling to attend HighLevel Policy Dialogue on Women and the Economy at APEC Forum in Beijing China
2036,Speech at Social Service Partners Conference
2037,Speech at HighLevel Policy Dialogue on Women and the Economy APEC Women and the Economy Forum
2038,Addendum to the Presidents Address
2039,Government Awards Tender to Develop Common IT System to Coordinate Social Service
2040,Is the Early Childhood Sector your Cup of Tea New Traineeship Programme to Help Job Seekers Join Early Childhood Sector
2041,Child Development CoSavings Scheme
2042,Launch of Responsible Gambling Awareness Week
2043,Women UnderRepresented on Boards of SGXListed Companies
2044,Opening of Marriage Convention
2045,New Sites for PreSchool Anchor Operators to Provide Additional PreSchool Place
2046,Parliamentary Secretary MSMs Low Yen Lings Remarks at the Opening of the SSI Training Course for ASEAN Participants
2047,Singapore trains ASEAN Social Workers
2048,Availability of Student Care Places
2049,Diversity Action Committee to take forward recommendations by Diversity Task Force regarding women on boards
2050,Speech at Enabling Employers Awards
2051,Certifications under the Singapore PreSchool Accreditation Framework SPAR
2052,Secondary and discretionary tiers in PA Scheme
2053,Award to Improve Lives of Persons with Disabilities
2054,Eligibility criteria for Public Assistance Scheme
2055,Mediumterm to shortterm ComCare scheme applicant
2056,MSF honoured Volunteers at Volunteer Award Cermony
2057,Staff certification for registered SCCs
2058,Student Care Centres outside school premises
2059,More Support for Early Intervention Services and Transport for Persons with Disabilities
2060,Higher Fee Assistance for Kindergarten Education
2061,more households to benefit from Comcare ShorttoMedium Term Assistance
2062,Age profile of those on Work Support Scheme
2063,Female representation boards listed companies
2064,New Concession Schemes for Workfare Beneficiaries and Persons with Disabilities from July
2065,Homeless families who camp by the beach
2066,Laws to protect rights of PWDs
2067,Staffchild ratios in childcare and infant care
2068,Government Selects Three New PreSchool Anchor Operators
2069,National Family Council Renamed Families for Life
2070,Allegations of Inappropriate Punishments at PERTAPIS Childrens Home PC
2071,Registry of Marriages ROCelebrates Double Valentines Day
2072,Continuing Professional Development Masterplan
2073,Speech at Early Childhood Conference
2074,Diversity Task Forces Work Gathers Steam Advisory Panel of Prominent Business Leaders Announced
2075,Three Social Enterprises Honoured for Outstanding Contributions to the Community
2076,Speech at LovedateOrchirdville
2077,Singapore celebrates families in the IYF
2078,Speech by Mr Chan Heng Kee at SPD Education Programme Awards Presentation Ceremony
2079,ASEAN Plus Three Workshop on on WorkLife Harmony
2080,Resource Kit on Developmental Needs for Parents
2081,Speech at Enabling Employers Network
2082,MSF Pilots Mentoring Programme to Build Capabilities of Social Enterprises
2083,Expert Panel appointed to enhance standards of FLE
2084,Revised Tender Evaluation Process for State Properties identified for Child Care Centres and Kindergartens
2085,Minister Chan Chun Sing to attend th ASEAN SocioCultural Community Council Meeting in Bandar Seri Begawan Brunei Darussalam
2086,More support for NonAnchor Operators
2087,The Family Life Education Conference
2088,More Training and Funding Support for Family Life Educators Launched at Inaugural Family Life Conference
2089,New Day Activity Centre by MINDS opens at Tampines
2090,Speech at the Community Chest Awards
2091,Fostering ParentTeen Relationships
2092,MSF Encourages New and Innovative Ideas
2093,Launch of Social Service Office at Kreta Ayer
2094,New Support Scheme for NonAnchor PreSchool Operators
2095,Minister Chan Chun Sing to attend th ASEAN Ministerial Meeting for Social Welfare and Development in Siem Reap Cambodia
2096,Caring Assistance from Neighbours CAProgramme
2097,OPG collaborates with POSB for LPA
2098,Appointment of the National Council on Problem Gambling
2099,New Dropin Disability Programme
2100,Govt to invest mil in Early Childhood Sector
2101,ECDA Scholarship Award Ceremony
2102,Nanyang Polytechnic Graduation Ceremony
2103,Haze Advisory from MSF and its related bodies
2104,Enhancements of BarrierFree Facilities
2105,Revised Tender Evaluation Process for Commercial Child Care Centres in HDB Premises
2106,Government Opens Call for Proposals to Select New PreSchool Anchor Operators
2107,Mandatory Mediation andor Counselling Extended to Parties Undergoing Divorce Proceedings with at Least One Child Below
2108,At Least Per Year to Fund and Mentor Youth Social Enterprise Startuups
2109,Singapore Ratifies UNCRPD
2110,Diversity Task Force to Launch Survey on Gender Diversity on Boards and in Senior Management
2111,Launch of BCA Universal Design Exhibition
2112,Social Sector Conference Shared Insights on Social Services And Safety Nets Giving to Grow Growing to Give
2113,Marriage and Parenthood Package Enhanced Leave Schemes Take Effect From st May
2114,Launch of the Parents Toolkit on Character
2115,MSFCSC Social Sector Conference
2116,The Ministry of Social and Family Development Unveils Inaugural Social Enterprise Carnival
2117,Rollout of Early Intervention Programme in PreSchools to Support Children with Mild Developmental Delays
2118,The We Welcome Families Award
2119,The First Session of the rd Graduation Ceremony
2120,Calling for Entries for Presidents Challenge Social Enterprise Award
2121,LPA Important Legal Instrument
2122,Social Service Offices to be set up in HDB towns to strengthen delivery of social services to needy Singaporeans
2123,FamilyMatters to offer wider choices and better access to family education at different life stages
2124,SG Enable An Agency Dedicated to Enabling Person
2125,Committee of Supply Debates Opening Speech
2126,Second Reading of the Child Development CoSavings
2127,Businesses to Get More Support to Create FamilyFriendly Environment
2128,Launch of the Early Childhood Development Agency ECD
2129,IndustryCommunity Forum to Enhance Responsible Gambling in Singapore
2130,Second Reading of the Child Development CoSavings
2131,The Ageing Asia Investment Forum
2132,Committee of Supply Debates Closing Speech
2133,Determination of Birth Order in Baby Bonus Scheme
2134,Occupational Therapy Day cum Launch of Bizlink CafeInstitue of Mental Health
2135,FamilyMatters Factsheet
2136,Larger Families Will Get More Help With Child Care Subsidies
2137,Foreign Domestic Worker Grant Application Made Easier MSF to Accept Application Endorsed by Any SMCRegistered Doctor
2138,Enhanced Child and Infant Care Subsidies for Lower and Middle Income Families
2139,Parliamentary debate on Population White Paper Our Values Our Identity Our Home
2140,Public Assistance PScheme Enhanced to Provide Greater and More Flexible Help for the Needy
2141,Four Languages Used to Ensure Understanding of Changes to Baby Bonus
2142,MSF Unveils Senior Care Associate Scheme
2143,Singapore Signs the UN Convention on the Rights of Persons with Disabilities
2144,Child Development Account Extended by Years to Better Support Needs of Children
2145,Child Protection and Welfare media queries
2146,SDN Launches Gifts of Love for Families and Friends of Singles
2147,Award ceremony Presidents Challenge Social Enterprise Award
2148,National Study Shows State of WorkLife Harmony Stable Among Singaporean Employees
2149,Child Development Account helps families with the cost of raising children
2150,M Paid Out Under Special Employment Credit SEand Workfare Income Supplement WIfor Persons with Disabilities
2151,Casino Control AmendmenBill
2152,Response to Adjournment Motion Proposal for transforming the child care sector
2153,Social Service Sector media queries
2154,Singles dating media queries
2155,Optional protocol to the UN Convention on the Rights of Persons with Disabilities
2156,Employment for people with disabilities
2157,Mental capacityhealth media queries
2158,Speech By Minister Of State Sun Xueling At Care Corner Singapore thAnniversary Conference Forging New Pathways
2159,School Family Education Appreciation Lunch
2160,National Family Violence Networking System symposium
2161,Children born with development impairments
2162,Governments Support for Child Care Costs
